sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord,longitude,latitude
서대문구,DMC파크뷰자이1단지버스정류소스마트쉼터2,서울특별시 서대문구 가재울미래로2,기타,10,09:00~18:00,192748.1685,552765.0204,126.9179077969851,37.57440217399399
서대문구,DMC파크뷰자이2단지버스정류소스마트쉼터3,서울특별시 서대문구 가재울미래로2,기타,10,09:00~18:00,192748.1685,552765.0204,126.9179077969851,37.57440217399399
서대문구,DMC센트레빌아파트버스정류소스마트쉼터4,서울특별시 서대문구 거북골로 120,기타,10,09:00~18:00,192528.4811,552981.8916,126.91541868348651,37.57635441408805
서대문구,DMC파크뷰자이별동상가버스정류소스마트쉼터5,서울특별시 서대문구 가재울미래로2,기타,10,09:00~18:00,192748.1685,552765.0204,126.9179077969851,37.57440217399399
서대문구,신촌전철역버스정류소스마트쉼터6,서울특별시 서대문구 신촌로 99,기타,10,09:00~18:00,194445.7295,550686.4679,126.9371402576588,37.55568630580902
서대문구,서서울농협동신병원버스정류소스마트쉼터7,서울특별시 서대문구 연희로 267,기타,10,09:00~18:00,194338.8046,553490.9817,126.93590850231998,37.58095418758746
서대문구,"DMC래미안e편한세상2,4단지버스정류소스마트쉼터8",서울특별시 서대문구 수색로 100,기타,10,09:00~18:00,192067.1859,552746.7762,126.9101991415622,37.57423218255212
서대문구,신촌기차역버스정류소스마트쉼터9,서울특별시 서대문구 신촌역로20,기타,10,09:00~18:00,194975.8105,550983.8249,126.9431373425672,37.55836852476528
서대문구,초원경로당,서울특별시 서대문구 홍제내 2길 56,노인시설,42,09:00~18:00,194454.3126,554140.8733,126.93721127244518,37.586810366555326
서대문구,홍남경로당,서대문구 증가로 4길 38-9,노인시설,25,09:00~18:00,193592.4191,553089.7434,126.92746203952848,37.57733416712753
마포구,상암동주민센터,서울특별시 마포구 매봉산로2길 16,주민센터,50,09:00~18:00,190696.2976,553202.9597,126.89467467685252,37.57832953875959
마포구,성산1동주민센터,서울특별시 마포구 성산로4길 15,주민센터,120,09:00~18:00,191862.5075,551541.363,126.90789552294913,37.5633696914542
마포구,연남동주민센터,서울특별시 마포구 성미산로29길 17-9 ,주민센터,30,09:00~18:00,193109.2546,551663.5251,126.92200571054887,37.56448053177051
마포구,염리동주민센터,서울특별시 마포구 숭문길 14,주민센터,50,09:00~18:00,195196.9936,549731.7846,126.94564883537494,37.54708885008879
강서구,가양1동주민센터,서울특별시 강서구 허준로 30  ,주민센터,20,09:00~18:00,186279.6935,552229.2379,126.84469356136442,37.569501188618965
강서구,가양2동주민센터,서울특별시 강서구 허준로 93  ,주민센터,20,09:00~18:00,186858.5531,551991.8352,126.85125017154833,37.56737064575326
강서구,가양3동주민센터,서울특별시 강서구 허준로 202 ,주민센터,20,09:00~18:00,187680.7062,551295.2126,126.86056790698166,37.56110547898027
강서구,등촌1동주민센터,서울특별시 강서구 공항대로53가길 55 ,주민센터,20,09:00~18:00,187531.5617,550708.5934,126.85888983368108,37.555818066993176
강서구,등촌2동주민센터,서울특별시 강서구 등촌로 143  ,주민센터,20,09:00~18:00,187848.7152,549247.3851,126.86250335942492,37.54265687389394
강서구,발산1동주민센터,서울특별시 강서구 강서로47길 54  ,주민센터,20,09:00~18:00,185259.8301,550412.5123,126.83318580198682,37.553116868447965
강서구,방화1동주민센터,서울특별시 강서구 방화대로 330 ,주민센터,20,09:00~18:00,183838.6687,552329.4508,126.81706039363296,37.57036451507728
강서구,방화3동주민센터,서울특별시 강서구 금낭화로24길 5  ,주민센터,20,09:00~18:00,183538.7043,553257.9257,126.81364409155314,37.5787246701469
강서구,염창동주민센터,서울특별시 강서구 양천로67가길 63 ,주민센터,20,09:00~18:00,188599.6519,550477.1835,126.87098139111443,37.55374690211357
강서구,우장산동주민센터,서울특별시 강서구 우현로 34 ,주민센터,30,09:00~18:00,186024.8735,549867.6163,126.84185412480696,37.548219297485666
강서구,화곡1동주민센터,서울특별시 강서구 곰달래로 79  ,주민센터,20,09:00~18:00,185999.1084,547906.1844,126.84159995076172,37.53054647092796
강서구,화곡2동주민센터,서울특별시 강서구 곰달래로37길 13  ,주민센터,20,09:00~18:00,187138.8015,548045.7446,126.85449146443327,37.53182049623878
강서구,화곡3동주민센터,서울특별시 강서구 강서로33가길 17  ,주민센터,20,09:00~18:00,185717.8032,549237.1511,126.83839151942193,37.542534128764245
강서구,화곡4동주민센터,서울특별시 강서구 곰달래로57가길 26  ,주민센터,30,09:00~18:00,187667.2656,548376.6372,126.86046481044447,37.53480904837292
강서구,화곡6동주민센터,서울특별시 강서구 화곡로 312  ,주민센터,30,09:00~18:00,186751.529,550266.6104,126.85006990510087,37.55182494270432
강서구,화곡8동주민센터,서울특별시 강서구 곰달래로25길 45  ,주민센터,20,09:00~18:00,186594.1837,548144.6978,126.8483280023259,37.532704310095426
강서구,화곡본동주민센터,서울특별시 강서구 초록마을로5길 29  ,주민센터,20,09:00~18:00,186537.2158,549403.7559,126.84766039887197,37.54404755708714
강서구,등촌3동주민센터,서울특별시 강서구 화곡로63길 96,주민센터,20,09:00~18:00,186561.8069,551048.0283,126.84790855972535,37.55886272906726
강서구,공항동주민센터,서울특별시 강서구 송정로 45,주민센터,20,09:00~18:00,183208.3078,551040.5691,126.80995450618143,37.558740530676324
강서구,방화2동주민센터,서울특별시 강서구 개화동로21길 52,주민센터,20,09:00~18:00,182846.851,552482.3217,126.8058299078864,37.57172393565637
구로구,가리봉동주민센터,서울특별시 구로구 우마2길 35,동주민센터,20,09:00~18:00,190238.962,542575.5447,126.88963845369877,37.48257181888946
구로구,개봉1동주민센터,서울특별시 구로구 경인로33길 51,동주민센터,20,09:00~18:00,186837.8503,544538.9441,126.85114935452306,37.500219957529076
구로구,개봉2동주민센터,서울특별시 구로구 개봉로16가길 17,동주민센터,15,09:00~18:00,187317.3892,543483.098,126.85659063229399,37.49071345084864
구로구,개봉3동주민센터,서울특별시 구로구 개봉로3길 47-5,동주민센터,20,09:00~18:00,187073.1647,542959.715,126.85383824575928,37.48599435956513
구로구,고척1동주민센터,서울특별시 구로구 중앙로3길 18-8,동주민센터,20,09:00~18:00,187868.0645,544556.917,126.86279971048062,37.50039599967948
구로구,고척2동주민센터,서울특별시 구로구 중앙로15길 22,동주민센터,20,09:00~18:00,187497.6599,545256.1819,126.85859892761447,37.5066914569263
구로구,구로1동주민센터,서울특별시 구로구 구일로4길 57,동주민센터,20,09:00~18:00,189015.5023,543738.9005,126.87578828493987,37.493039992401485
구로구,구로2동주민센터,서울특별시 구로구 구로동로 141,동주민센터,20,09:00~18:00,189689.2401,543551.3204,126.88340946377816,37.49135764991777
구로구,구로3동주민센터,서울특별시 구로구 디지털로31길 109,동주민센터,20,09:00~18:00,190300.6275,543105.9868,126.89032867720566,37.48735178730541
구로구,구로4동주민센터,서울특별시 구로구 구로동로28길 94,동주민센터,20,09:00~18:00,190196.8301,543574.9889,126.88914879214532,37.49157642930332
