sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord
강남구,제일은행버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 306,기타,10,24시간,203082.6007,546884.5247
강남구,차병원차움버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 442,기타,10,24시간,203896.2824,547097.8894
강남구,포스코건너편버스정류장그린스마트쉼터,서울특별시 강남구 테헤란로 443,기타,10,24시간,204915.6928,545276.9549
강남구,포스코사거리버스정류장그린스마트쉼터,서울특별시 강남구 테헤란로 507,기타,10,24시간,205103.0982,545358.6262
강남구,프리마호텔버스정류장그린스마트쉼터1,서울특별시 강남구 도산대로 513,기타,10,24시간,204373.2344,547256.875
강남구,프리마호텔버스정류장그린스마트쉼터2,서울특별시 강남구 도산대로 532,기타,10,24시간,204560.5471,547207.2405
강남구,"한국무역센터,삼성역버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 517,기타,10,24시간,205280.9416,545465.8266
강남구,"한국무역센터,삼성역버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 518,기타,10,24시간,205357.8374,545342.788
강남구,"한국자산신탁,센터필드버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 306,기타,10,24시간,203886.3787,544780.6015
강남구,한양아파트버스정류장그린스마트쉼터,서울특별시 강남구 압구정로 343,기타,10,24시간,203538.3029,547664.4865
송파구,잠실역8번출구미세먼지프리존,서울특별시 송파구 신천동 8,기타,10,09:00~18:00,209030.0417,546069.0323
강동구,고덕리엔파크3단지경로당,"서울특별시 강동구 상일로 74 , 335-802(상일동, 고덕리엔파크3단지)",노인시설,30,09:00~18:00,215360.1065,550302.8882
강동구,선린경로당,"서울특별시 강동구 명일로10나길  5 , 선린경로당(둔촌동)",노인시설,40,09:00~18:00,212781.69,548012.6898
강동구,선사현대아파트경로당,"서울특별시 강동구 상암로 11 , 113-401(암사동, 선사현대아파트)",노인시설,56,09:00~18:00,211043.7519,550447.7452
강동구,안말경로당,서울특별시 강동구 풍성로45길 11,노인시설,42,09:00~18:00,211481.6813,547980.6802
